x,z,grade,area_m2
-103.453552,-82.25723,0.0677662641,4.35876036
-105.200989,-86.61112,0.0556217432,2.17938828
-106.784767,-90.973,0.072982274,1.089651
-105.947113,-88.05444,0.0556229055,1.08965468
-98.9767761,-73.59732,0.08641384,4.35872269
-94.66364,-64.92942,0.104533851,2.17935967
-97.32086,-70.71866,0.08710525,2.17934823
-101.470337,-79.39454,0.06822507,4.358722
-104.628204,-86.63906,0.0556234457,1.08971119
-106.5393,-90.9849854,0.07298141,0.5448854
-105.374336,-88.0823746,0.0556197129,0.544883668
-102.962593,-82.28118,0.0677669644,2.179407
-109.10498,-95.29897,0.08870374,4.358776
-110.438438,-98.9332047,0.07829103,1.08970273
-111.271248,-101.112144,0.03684983,0.5449095
-110.934242,-99.64887,0.07716049,0.5449023
-110.096588,-96.7303162,0.08832861,2.17938828
-113.427818,-105.446083,0.0372034051,4.3587985
-112.176186,-101.807869,0.0368539542,1.08969057
-111.588844,-99.61697,0.07777425,0.544847846
-111.762207,-101.088219,0.03685712,0.5448462
-110.587547,-96.70638,0.08832755,1.0896883
-111.093056,-98.9012756,0.0788904354,0.5448425
-111.516731,-101.100182,0.03685453,0.272394866
-111.343384,-99.62893,0.0777749643,0.2723957
-116.749336,-112.682625,0.02567348,2.17938876
-118.578613,-117.032555,0.009771677,1.089666
-117.5773,-114.121971,0.0248238649,1.08966279
-121.235832,-122.821785,0.00255887047,2.179544
-119.48838,-118.467896,0.008713359,1.0897758
-117.822777,-114.109993,0.0248238649,0.5448314
-118.824074,-117.020576,0.009771677,0.544833
-115.247368,-108.316772,0.0156530421,4.3587513
-112.789856,-101.777946,0.0368582569,0.5448191
-111.997963,-99.59701,0.07807713,0.272416025
-112.416786,-101.056282,0.0368552841,0.272412479
-110.833008,-96.6944046,0.0883310959,0.5448304
-111.583992,-98.87734,0.07979307,0.2724156
-112.294067,-101.062279,0.0368577167,0.136196688
-111.875221,-99.60299,0.07807955,0.136198461
-113.918762,-105.42215,0.0372079574,2.17927527
-135.134537,-139.086792,0.0513671525,17.03559
-141.857834,-150.189743,0.0523261167,4.258855
-146.091309,-157.11058,0.105437189,2.12925887
-144.599045,-154.223953,0.05230333,2.12941623
-140.616974,-147.155228,0.0511928573,8.517765
-131.152466,-132.018082,0.01855019,8.517783
-130.16304,-128.835678,0.0159937646,8.517772
-135.142639,-137.19986,0.04537029,4.25885057
-137.883865,-141.23407,0.04524752,2.1294024
-136.3916,-138.347427,0.0468432941,2.12939572
-132.660965,-131.130844,0.0221951772,4.258812
-133.650391,-134.313232,0.04619904,4.258848
-152.571289,-166.474442,0.07820106,17.0352974
-162.781937,-183.054886,0.04405517,8.517657
-156.310059,-171.804123,0.0440122522,8.517651
-143.366318,-149.30249,0.05282825,8.517689
-137.020157,-137.977737,0.05373864,2.129514
-133.038086,-130.909012,0.0596654825,1.06474113
-134.530334,-133.79567,0.05566807,1.06476963
-137.640564,-139.495,0.0157759674,2.12948
-139.132828,-142.381638,0.0528297871,2.12942052
-144.607162,-152.337,0.0386256278,8.517762
-147.591675,-158.11026,0.07820095,8.517644
-114.984962,-101.060638,0.039016407,1.064744
-113.614349,-99.04354,0.0883252844,0.532374263
-114.360474,-100.486855,0.06807527,0.5323791
-111.619263,-96.4526443,0.08833468,1.06472778
-113.300079,-99.2283859,0.08832754,0.266151071
-114.171913,-100.597755,0.06808066,0.266150117
-112.989868,-98.46976,0.08833327,0.532361448
-116.97599,-104.594994,0.0414105654,4.25892544
-111.250267,-94.78751,0.0477720946,4.25890875
-113.492714,-98.174,0.07507392,1.06473136
-114.863319,-100.191109,0.06996453,0.53235203
-114.117195,-98.7477951,0.08470626,0.532353
-112.499237,-95.93509,0.06205934,2.12949347
-122.207008,-112.8113,0.0147506194,4.25871134
-125.694374,-118.288841,0.04034209,4.25884342
-117.60453,-104.225342,0.03449349,2.12935114
-114.368614,-98.5999146,0.0445930474,2.12934947
-118.971092,-107.18589,0.02163768,4.258708
-102.791412,-79.0589,0.06831448,4.258787
-107.896729,-87.34911,0.05108231,2.12954164
-104.660789,-81.72372,0.0685369447,2.12954164
-98.1889343,-70.47291,0.08768585,2.12949824
-94.953,-64.847496,0.104513243,2.12949872
-99.55548,-73.4334946,0.0868262053,4.25880861
-107.519615,-87.57092,0.05108214,4.25875
-104.032257,-82.09341,0.06838278,4.25872755
-108.76046,-90.60543,0.05112897,8.517806
-121.201355,-113.402771,0.0145236785,8.517937
-125.191551,-118.584557,0.024562221,8.517504
-115.475609,-103.595314,0.0392128378,2.1294322
-117.4707,-106.186195,0.0285317488,2.129574
-112.612755,-98.69157,0.08734284,0.532350063
-114.0462,-100.6717,0.0509964451,0.2662071
