portal_local_x,portal_local_z,world_x,world_z,terrain_y
9,7.5,362.8989,24.7248,2.357588
9.5,7.5,363.3523,24.51398,2.45927
10,7.5,363.8056,24.30315,2.560953
10.5,7.5,364.259,24.09232,2.661831
11,7.5,364.7124,23.88149,2.73313
11.5,7.5,365.1658,23.67066,2.806725
12,7.5,365.6191,23.45981,2.865004
12.5,7.5,366.0725,23.24898,2.870384
13,7.5,366.5259,23.03816,2.853146
13.5,7.5,366.9793,22.82731,2.830111
14,7.5,367.4326,22.61648,2.787485
14.5,7.5,367.886,22.40566,2.744909
15,7.5,368.3394,22.19482,2.642912
15.5,7.5,368.7928,21.984,2.528923
16,7.5,369.2462,21.77317,2.424446
16.5,7.5,369.6995,21.56231,2.317833
17,7.5,370.1529,21.35149,2.179203
17.5,7.5,370.6063,21.14066,1.993334
18,7.5,371.0597,20.92983,1.821878
18.5,7.5,371.5131,20.719,1.709997
19,7.5,371.9664,20.50816,1.598116
19.5,7.5,372.4198,20.29733,1.370897
20,7.5,372.8732,20.0865,1.226156
20.5,7.5,373.3265,19.87567,1.081635
21,7.5,373.7799,19.66482,0.9519711
21.5,7.5,374.2333,19.45401,0.8329124
22,7.5,374.6866,19.24316,0.6574306
22.5,7.5,375.14,19.03233,0.500185
23,7.5,375.5934,18.82151,0.4372063
23.5,7.5,376.0468,18.61068,0.366724
24,7.5,376.5002,18.39985,0.2462425
24.5,7.5,376.9535,18.189,0.210968
25,7.5,377.4069,17.97817,0.1739082
