row,worldX,worldZ,designY,terrainY
4,565.9811,-386.2824,8.920499,8.791866
4,566.5065,-386.4753,8.908826,8.763374
4,567.0319,-386.6682,8.896972,8.735487
4,567.5573,-386.8612,8.884982,8.715895
4,568.0826,-387.054,8.872906,8.702255
4,568.608,-387.247,8.86079,8.688612
4,569.1333,-387.4399,8.848685,8.682846
4,569.6587,-387.6328,8.836641,8.679068
4,570.1841,-387.8257,8.824706,8.6709
4,570.7094,-388.0186,8.812926,8.661488
4,571.2347,-388.2115,8.80135,8.647554
4,571.7602,-388.4044,8.790018,8.635626
4,572.2855,-388.5973,8.778974,8.624361
4,572.8109,-388.7903,8.768253,8.607969
4,573.3363,-388.9832,8.757893,8.595476
4,573.8616,-389.1761,8.747922,8.587854
4,574.387,-389.369,8.738367,8.574327
4,574.9124,-389.5619,8.729252,8.560135
4,575.4377,-389.7548,8.720592,8.546686
4,575.9631,-389.9477,8.7124,8.533239
4,576.4885,-390.1406,8.704685,8.509007
