object,x,z,area,grade
Road 471332807 ,564.7661,-348.3646,1.117571,0.09263475
Road 471332807 ,562.7662,-348.3875,1.117571,0.2018441
Road 471332807 ,565.7603,-347.8564,2.235143,0.09926748
Road 471332807 ,562.7548,-347.3943,1.117435,0.208182
Road 471332807 ,564.7547,-347.3712,1.117435,0.09806475
Road 471332807 ,561.7606,-347.9023,2.234869,0.2025464
Road 471332807 ,564.749,-346.8746,1.117527,0.09805197
Road 471332807 ,562.7491,-346.8976,1.117527,0.2081779
Road 471332807 ,565.7432,-346.3665,2.235076,0.09927833
Road 471332807 ,562.7377,-345.9044,1.117435,0.2081812
Road 471332807 ,564.7375,-345.8814,1.117435,0.0988896
Road 471332807 ,561.7434,-346.4125,2.234848,0.2081775
Road 471332807 ,564.7318,-345.3848,1.117481,0.09888995
Road 471332807 ,562.732,-345.4078,1.117481,0.2081814
Road 471332807 ,565.7261,-344.8766,2.234939,0.0998924
Road 471332807 ,562.7205,-344.4145,1.117573,0.20817
Road 471332807 ,564.7204,-344.3915,1.117573,0.09957003
Road 471332807 ,561.7263,-344.9226,2.235168,0.2081811
Road 471332807 ,564.7147,-343.8949,1.117526,0.0995818
Road 471332807 ,562.7148,-343.9178,1.117526,0.2081737
Road 471332807 ,565.7089,-343.3867,2.235052,0.1005222
Road 471332807 ,562.7034,-342.9246,1.117526,0.2133304
Road 471332807 ,564.7033,-342.9016,1.117526,0.1002276
Road 471332807 ,561.7092,-343.4327,2.235052,0.208883
Road 471332807 ,563.9455,-342.2273,0.279359,0.1362717
Road 471332807 ,564.4468,-342.3457,0.2793763,0.130893
Road 471332807 ,565.199,-342.5233,0.5587407,0.1308848
Road 471332807 ,562.6977,-342.4279,1.117481,0.2133347
Road 471332807 ,565.6918,-341.8968,2.23503,0.1011623
Road 471332807 ,562.6863,-341.4347,1.117526,0.2263083
Road 471332807 ,565.1846,-341.2817,0.5587854,0.09208073
Road 471332807 ,564.4368,-341.4766,0.2793758,0.09208285
Road 471332807 ,563.9383,-341.6065,0.2793758,0.1369455
Road 471332807 ,561.6921,-341.9428,2.234984,0.2162796
Road 471332807 ,564.4283,-340.7317,0.2793873,0.09260087
Road 471332807 ,563.9297,-340.8615,0.2793758,0.1383052
Road 471332807 ,565.1818,-341.0334,0.5587865,0.1334645
Road 471332807 ,562.6806,-340.938,1.117526,0.2263073
Road 471332807 ,565.1761,-340.5368,1.117492,0.1216964
Road 471332807 ,566.1732,-340.277,1.117526,0.06918372
Road 471332807 ,562.6692,-339.9447,1.11748,0.2314846
Road 471332807 ,564.9183,-339.8568,0.1396822,0.08000952
Road 471332807 ,564.1669,-339.7413,0.06983536,0.1835709
Road 471332807 ,564.6669,-339.7355,0.06983539,0.0852006
Road 471332807 ,565.6675,-339.7861,0.2793758,0.08200815
Road 471332807 ,564.2951,-340.0192,0.06984106,0.06657788
Road 471332807 ,564.043,-339.8358,0.06983536,0.2744085
Road 471332807 ,564.6705,-340.0459,0.1396822,0.08681592
Road 471332807 ,563.7952,-340.0249,0.1396823,0.2832892
Road 471332807 ,564.0473,-340.2083,0.1396879,0.1510123
Road 471332807 ,561.675,-340.4529,2.235006,0.235532
Road 471332807 ,564.1605,-339.1826,0.1396822,0.2257728
Road 471332807 ,564.6619,-339.301,0.1396822,0.162256
Road 471332807 ,563.9127,-339.3717,0.2793644,0.2256984
Road 471332807 ,565.6647,-339.5378,0.2793758,0.0852145
Road 471332807 ,564.6655,-339.6114,0.06984683,0.110327
Road 471332807 ,564.1655,-339.6171,0.0698468,0.1964967
Road 471332807 ,564.914,-339.4843,0.1396822,0.09501815
Road 471332807 ,562.6635,-339.4481,1.11748,0.2583162
Road 471332807 ,566.1589,-339.0354,1.117515,0.08521376
Road 471332807 ,564.6591,-339.0526,0.1396822,0.1622531
Road 471332807 ,564.1577,-338.9342,0.1396822,0.2257711
Road 471332807 ,564.9069,-338.8636,0.2793644,0.1625729
Road 471332807 ,565.6547,-338.6687,0.5587289,0.1232102
Road 471332807 ,562.652,-338.4549,1.117527,0.2583152
Road 471332807 ,564.6505,-338.3077,0.2793986,0.2130523
Road 471332807 ,565.6497,-338.2341,0.06983536,0.1565169
Road 471332807 ,566.1497,-338.2284,0.06983539,0.08523552
Road 471332807 ,565.4012,-338.3612,0.1396937,0.1780474
Road 471332807 ,564.1534,-338.5618,0.5587635,0.2133255
Road 471332807 ,561.6578,-338.963,2.23503,0.2583239
Road 471332807 ,564.1448,-337.8168,0.5587745,0.2136533
Road 471332807 ,565.3969,-337.9887,0.1396937,0.2000655
Road 471332807 ,566.1483,-338.1042,0.06985828,0.1183484
Road 471332807 ,565.6483,-338.11,0.06985825,0.1767443
Road 471332807 ,564.6476,-338.0594,0.2793986,0.2130465
Road 471332807 ,562.6463,-337.9582,1.117526,0.2583264
Road 471332807 ,565.3912,-337.492,0.2793643,0.2000655
