object,triangle,x,y,z,areaM2,grade
"Continuous asphalt network",131,59.79707,-2.46561456,-153.566238,40.095974,0.0141814938
"Continuous asphalt network",132,127.14859,0.127061263,-115.278084,6.793424,0.0300897118
"Continuous asphalt network",133,117.969719,-0.164848268,-110.491737,6.79342556,0.0264327861
"Continuous asphalt network",134,132.007751,0.282920569,-117.154022,13.5868673,0.029974848
"Continuous asphalt network",135,146.315491,0.7514716,-123.299065,6.79342556,0.0303589944
"Continuous asphalt network",136,155.764084,1.07221377,-127.568176,6.793439,0.0320089459
"Continuous asphalt network",137,141.321472,0.5949616,-121.681755,13.5868559,0.03028875
"Continuous asphalt network",138,119.725014,-0.1081393,-112.7228,6.793403,0.0301089622
"Continuous asphalt network",139,115.4053,-0.243672952,-109.8124,6.79337549,0.0433693
"Continuous asphalt network",140,126.744019,0.125578627,-116.053947,13.5868006,0.0300741382
"Continuous asphalt network",141,110.276428,-0.398167223,-108.4537,13.5868254,0.02873357
"Continuous asphalt network",142,114.596153,-0.2626336,-111.364105,13.5868559,0.02979216
"Continuous asphalt network",143,105.748474,-0.4828497,-107.0115,10.6387548,0.0162495077
"Continuous asphalt network",144,-60.38767,-5.58160257,-193.225174,24.2557526,0.009486903
"Continuous asphalt network",145,-76.11817,-5.52986526,-217.158218,51.9286537,0.003337453
"Continuous asphalt network",146,-66.3073044,-5.58185768,-205.400192,25.9641552,0.003783301
"Continuous asphalt network",147,-71.41303,-5.546219,-213.871689,25.96413,0.00342394877
"Continuous asphalt network",148,-79.45236,-5.492583,-228.131149,32.9326134,0.00335018313
"Continuous asphalt network",149,0.941343963,-3.35503674,-81.7486038,24.1170769,0.00772184134
"Continuous asphalt network",150,8.448562,-3.22857928,-70.17063,12.0586653,0.011869194
"Continuous asphalt network",151,4.11981726,-3.318781,-78.27441,12.0586729,0.008034218
"Continuous asphalt network",152,-4.53766632,-3.46028018,-94.4819641,12.058404,0.007602325
"Continuous asphalt network",153,-8.866409,-3.52742958,-102.585732,12.0584126,0.00706595974
"Continuous asphalt network",154,-3.387394,-3.425516,-89.8523941,24.11707,0.00762852747
"Continuous asphalt network",155,6.92741,-3.231674,-69.30411,24.11687,0.0118955933
"Continuous asphalt network",156,1.58456552,-3.32191944,-76.83019,24.11692,0.00778430654
"Continuous asphalt network",157,7.570638,-3.22553945,-64.3857,48.23415,0.0214404166
"Continuous asphalt network",158,-59.1318321,-5.11843824,-24.0367069,26.8917065,0.01909969
"Continuous asphalt network",159,-89.91781,-5.33945847,-65.16084,69.7402344,0.00144179794
"Continuous asphalt network",160,-98.54407,-5.3686614,-82.4966354,34.87005,0.00161874411
"Continuous asphalt network",161,-94.538826,-5.34994936,-70.85431,34.8699875,0.00147631753
"Continuous asphalt network",162,-108.479515,-5.39818764,-99.76859,34.8698425,0.00122205529
"Continuous asphalt network",163,-117.760376,-5.420704,-117.072449,17.4347343,0.00124708749
"Continuous asphalt network",164,-112.445923,-5.40699625,-105.49398,17.4347038,0.00143760163
"Continuous asphalt network",165,-103.819672,-5.381166,-88.1581955,34.86984,0.00154801225
"Continuous asphalt network",166,-96.5026245,-5.351743,-70.7585449,17.4349251,0.00173842092
"Continuous asphalt network",167,-100.507866,-5.370455,-82.40087,17.4349556,0.001845072
"Continuous asphalt network",168,-128.350418,-5.438484,-134.312454,34.86981,0.0007556388
"Continuous asphalt network",169,-137.631271,-5.451191,-151.616318,17.43535,0.0006539278
"Continuous asphalt network",170,-132.316833,-5.443256,-140.037857,17.4353714,0.000688287662
"Continuous asphalt network",171,-147.5667,-5.46158552,-168.888245,17.43522,0.000403048849
"Continuous asphalt network",172,-157.17485,-5.46815634,-186.176147,8.717415,0.000273031939
"Continuous asphalt network",173,-151.205826,-5.464087,-174.6296,8.71742249,0.000354200252
"Continuous asphalt network",174,-141.924973,-5.45557,-157.325729,17.4352512,0.0005834733
"Continuous asphalt network",175,-133.298721,-5.443567,-139.98996,8.717277,0.0009966156
"Continuous asphalt network",176,-138.613159,-5.45150137,-151.56842,8.717267,0.0009865396
"Continuous asphalt network",177,-123.363258,-5.427858,-122.71804,34.86978,0.0010171727
"Continuous asphalt network",178,-115.0643,-5.407701,-105.366295,17.4347763,0.00135405571
"Continuous asphalt network",179,-119.724144,-5.42134857,-116.976685,17.4347858,0.001010604
"Continuous asphalt network",180,-106.110756,-5.38217926,-88.04647,17.4351139,0.00162304728
"Continuous asphalt network",181,-97.48452,-5.352688,-70.71068,8.717438,0.0015790473
"Continuous asphalt network",182,-102.79895,-5.372282,-82.28916,8.717437,0.00159252761
"Continuous asphalt network",183,-111.097893,-5.3998723,-99.64089,17.435112,0.00130708981
"Continuous asphalt network",184,-118.742249,-5.421421,-117.024559,8.717526,0.00101080677
"Continuous asphalt network",185,-114.082405,-5.40777349,-105.414162,8.717522,0.00135424966
"Continuous asphalt network",186,-135.134537,-5.44369364,-139.086792,17.03559,0.0010405936
"Continuous asphalt network",187,-142.109238,-5.451832,-150.041855,17.0355434,0.00095213973
"Continuous asphalt network",188,-132.652847,-5.43918657,-133.017776,34.07097,0.000627021946
"Continuous asphalt network",189,-152.571289,-5.462445,-166.474442,17.0352974,0.000448761828
"Continuous asphalt network",190,-162.781937,-5.469967,-183.054886,8.517657,0.0008377194
