ax,az,bx,bz,cx,cz
-312.55838,-237.035126,-322.365021,-238.992218,-312.8462,-235.592941
-322.365021,-238.992218,-322.652832,-237.549942,-312.8462,-235.592941
-312.8462,-235.592941,-322.652832,-237.549942,-313.134,-234.1507
-322.652832,-237.549942,-322.940643,-236.1077,-313.134,-234.1507
-313.134,-234.1507,-322.940643,-236.1077,-313.421844,-232.708344
-322.940643,-236.1077,-323.228424,-234.665558,-313.421844,-232.708344
-313.421844,-232.708344,-323.228424,-234.665558,-313.7097,-231.266174
-323.228424,-234.665558,-323.516327,-233.2233,-313.7097,-231.266174
-313.7097,-231.266174,-323.516327,-233.2233,-313.997467,-229.824
-323.516327,-233.2233,-323.8041,-231.781036,-313.997467,-229.824
-313.997467,-229.824,-323.8041,-231.781036,-314.2853,-228.381744
-323.8041,-231.781036,-324.091949,-230.338837,-314.2853,-228.381744
-314.2853,-228.381744,-324.091949,-230.338837,-314.57312,-226.9395
-324.091949,-230.338837,-324.379761,-228.896591,-314.57312,-226.9395
-314.57312,-226.9395,-324.379761,-228.896591,-314.860962,-225.497345
-324.379761,-228.896591,-324.6676,-227.454224,-314.860962,-225.497345
-314.860962,-225.497345,-324.6676,-227.454224,-315.1487,-224.0551
-324.6676,-227.454224,-324.955353,-226.011978,-315.1487,-224.0551
-315.1487,-224.0551,-324.955353,-226.011978,-315.436584,-222.612686
-324.955353,-226.011978,-325.243164,-224.56987,-315.436584,-222.612686
-362.317261,-221.37738,-363.979675,-218.8801,-361.179443,-220.619949
-363.979675,-218.8801,-362.841858,-218.1227,-361.179443,-220.619949
-361.179443,-220.619949,-362.841858,-218.1227,-360.041656,-219.8625
-362.841858,-218.1227,-361.704071,-217.365219,-360.041656,-219.8625
-360.041656,-219.8625,-361.704071,-217.365219,-358.903839,-219.105087
-361.704071,-217.365219,-360.5662,-216.6078,-358.903839,-219.105087
-358.903839,-219.105087,-360.5662,-216.6078,-357.765961,-218.347641
-360.5662,-216.6078,-359.428436,-215.850388,-357.765961,-218.347641
-357.765961,-218.347641,-359.428436,-215.850388,-356.628174,-217.590164
-359.428436,-215.850388,-358.290649,-215.092911,-356.628174,-217.590164
-356.628174,-217.590164,-358.290649,-215.092911,-355.490417,-216.832764
-358.290649,-215.092911,-357.152771,-214.335449,-355.490417,-216.832764
-355.490417,-216.832764,-357.152771,-214.335449,-354.35257,-216.075348
-357.152771,-214.335449,-356.014923,-213.578064,-354.35257,-216.075348
-354.35257,-216.075348,-356.014923,-213.578064,-352.8999,-215.037079
-356.014923,-213.578064,-355.1919,-213.10141,-352.8999,-215.037079
-352.8999,-215.037079,-355.1919,-213.10141,-352.157471,-213.465714
-355.1919,-213.10141,-354.916748,-212.288254,-352.157471,-213.465714
-352.157471,-213.465714,-354.916748,-212.288254,-351.648743,-212.273514
-354.916748,-212.288254,-354.40802,-211.096024,-351.648743,-212.273514
-351.648743,-212.273514,-354.40802,-211.096024,-351.139954,-211.081268
-354.40802,-211.096024,-353.89917,-209.903717,-351.139954,-211.081268
-351.139954,-211.081268,-353.89917,-209.903717,-350.6311,-209.889023
-353.89917,-209.903717,-353.390381,-208.7115,-350.6311,-209.889023
-350.6311,-209.889023,-353.390381,-208.7115,-350.122345,-208.696762
-353.390381,-208.7115,-352.881622,-207.5193,-350.122345,-208.696762
-350.122345,-208.696762,-352.881622,-207.5193,-349.6136,-207.504517
-352.881622,-207.5193,-352.372864,-206.327057,-349.6136,-207.504517
-349.6136,-207.504517,-352.372864,-206.327057,-349.1048,-206.312271
-352.372864,-206.327057,-351.864075,-205.134781,-349.1048,-206.312271
-299.447723,-213.7148,-301.021637,-211.160843,-298.250183,-212.9768
-301.021637,-211.160843,-299.824158,-210.422852,-298.250183,-212.9768
-298.250183,-212.9768,-299.824158,-210.422852,-296.820557,-212.062454
-299.824158,-210.422852,-298.858826,-209.861191,-296.820557,-212.062454
-296.820557,-212.062454,-298.858826,-209.861191,-295.999847,-210.864517
-298.858826,-209.861191,-298.5308,-209.25386,-295.999847,-210.864517
-295.999847,-210.864517,-298.5308,-209.25386,-295.425354,-209.961853
-298.5308,-209.25386,-297.9563,-208.3512,-295.425354,-209.961853
-295.425354,-209.961853,-297.9563,-208.3512,-294.850922,-209.059143
-297.9563,-208.3512,-297.382,-207.448608,-294.850922,-209.059143
421.874268,-575.533142,417.381531,-584.4671,420.5467,-574.86554
417.381531,-584.4671,416.054016,-583.7995,420.5467,-574.86554
420.5467,-574.86554,416.054016,-583.7995,419.219116,-574.197937
416.054016,-583.7995,414.72644,-583.1319,419.219116,-574.197937
419.219116,-574.197937,414.72644,-583.1319,417.891571,-573.530334
414.72644,-583.1319,413.398834,-582.4643,417.891571,-573.530334
417.891571,-573.530334,413.398834,-582.4643,416.564026,-572.862732
413.398834,-582.4643,412.07135,-581.7967,416.564026,-572.862732
416.564026,-572.862732,412.07135,-581.7967,415.2364,-572.1951
412.07135,-581.7967,410.743958,-581.1292,415.2364,-572.1951
415.2364,-572.1951,410.743958,-581.1292,413.908844,-571.5276
410.743958,-581.1292,409.416351,-580.4617,413.908844,-571.5276
413.908844,-571.5276,409.416351,-580.4617,412.5814,-570.860046
409.416351,-580.4617,408.088654,-579.794,412.5814,-570.860046
412.5814,-570.860046,408.088654,-579.794,411.253876,-570.192444
408.088654,-579.794,406.761139,-579.1264,411.253876,-570.192444
411.253876,-570.192444,406.761139,-579.1264,409.9262,-569.5248
406.761139,-579.1264,405.433655,-578.458862,409.9262,-569.5248
409.9262,-569.5248,405.433655,-578.458862,408.598633,-568.857239
405.433655,-578.458862,404.1062,-577.7913,408.598633,-568.857239
408.598633,-568.857239,404.1062,-577.7913,407.271118,-568.1897
404.1062,-577.7913,402.778564,-577.1238,407.271118,-568.1897
407.271118,-568.1897,402.778564,-577.1238,405.9437,-567.5222
402.778564,-577.1238,401.4509,-576.456055,405.9437,-567.5222
405.9437,-567.5222,401.4509,-576.456055,404.61615,-566.854553
401.4509,-576.456055,400.123474,-575.7885,404.61615,-566.854553
404.61615,-566.854553,400.123474,-575.7885,403.288422,-566.1869
400.123474,-575.7885,398.795929,-575.121,403.288422,-566.1869
403.288422,-566.1869,398.795929,-575.121,401.961,-565.5194
398.795929,-575.121,397.468323,-574.453369,401.961,-565.5194
401.961,-565.5194,397.468323,-574.453369,400.633423,-564.851746
397.468323,-574.453369,396.1407,-573.7857,400.633423,-564.851746
400.633423,-564.851746,396.1407,-573.7857,399.305878,-564.1842
