x,z,area,grade
-27.76996,149.9185,17.15955,0
-45.47184,158.0705,8.579787,0
-33.65259,153.0584,8.579773,0
-15.93719,145.2233,17.15962,0
1.805208,138.022,8.580152,0
-10.04105,142.4003,8.580167,0
19.4936,129.5531,34.31987,0
37.24949,122.6687,17.16036,0
25.37624,126.4132,17.16038,0
52.02356,116.4035,8.579973,8.990632E-05
60.90149,112.9614,4.289845,0.006040208
54.96488,114.8336,4.289839,0.0008822011
67.1805,110.2987,0.5362501,0.0550093
68.29529,109.9872,0.2681042,0.1533927
67.5431,109.9836,0.2681039,0.04271128
69.77268,109.3607,0.5362124,0.1635941
68.65452,109.5929,0.2681042,0.1477485
67.53298,109.7459,0.1340519,0
68.28516,109.7496,0.1340521,0.1493644
72.72751,108.1077,1.072413,0.1645804
70.50127,108.8098,0.5362103,0.1638501
68.64271,109.3156,0.134072,0.1470233
67.52792,109.6271,0.06702863,0
68.27335,109.4723,0.06702871,0.14646
69.76257,109.123,0.2681403,0.1635978
77.15975,106.2282,1.072435,0.1691308
81.59536,104.4278,0.5362247,0.1536578
78.6338,105.5224,0.5362284,0.168979
74.1948,107.2435,1.072427,0.1654587
70.48948,108.5325,0.2681795,0.1656369
68.63682,109.177,0.06702479,0.1464925
67.52538,109.5677,0.03350762,0
68.26746,109.3336,0.03350906,0.1450252
69.75077,108.8457,0.1340512,0.170781
72.71739,107.87,0.5363587,0.1645811
65.31686,110.6857,2.145008,0.0572396
60.86776,112.1691,1.07244,0
63.84282,111.3914,1.072443,0.01150088
54.94464,114.3582,2.144862,0
59.3971,112.9541,1.072428,0.0006568453
63.85294,111.6291,0.5362787,0.01887883
60.87788,112.4068,0.5362768,0.01273449
43.11862,119.2119,17.16002,0
25.33573,125.4624,8.580681,0
37.20898,121.7179,8.580673,0
-148.6687,52.36654,6.099879,0
-147.3372,57.38869,53.16111,0
-141.5506,70.85226,26.58024,0
-143.6711,61.83549,26.58024,0
-134.461,84.28503,26.58086,0
-128.0229,97.73318,13.28999,0
-131.4463,88.74722,13.29005,0
-137.233,75.28365,26.58089,0
-141.7167,61.7893,13.2903,0
-139.5962,70.80606,13.2903,0
-120.2818,111.1506,26.5805,0
-113.8437,124.5987,13.29038,0
-117.2672,115.6127,13.29035,0
-106.7541,138.0314,13.28981,0
-99.9903,151.4719,6.645165,0
-104.0652,142.5013,6.645151,0
